Hidden Units,Optimizer,Learning Rate,Batch Size,Accuracy,Recall,Precision,ROC,F1 Score
"(64, 32, 16, 8, 4, 2)",sgd,0.001,16,76.7,34.7,24.3,0.59,28.6
"(64, 32, 16, 8, 4, 2)",sgd,0.001,32,81.1,32.7,30.8,0.606,31.7
"(64, 32, 16, 8, 4, 2)",sgd,0.0001,8,86.0,49.0,48.0,0.704,48.5
"(64, 32, 16, 8, 4, 2)",sgd,0.0001,16,83.3,53.1,40.6,0.705,46.0
"(64, 32, 16, 8, 4, 2)",sgd,0.0001,32,80.0,46.9,32.9,0.66,38.7
"(64, 32, 16, 8, 4, 2)",adam,0.001,8,84.9,40.8,43.5,0.663,42.1
"(64, 32, 16, 8, 4, 2)",adam,0.001,16,85.2,42.9,44.7,0.673,43.8
"(64, 32, 16, 8, 4, 2)",adam,0.001,32,84.4,40.8,41.7,0.66,41.2
"(64, 32, 16, 8, 4, 2)",adam,0.0001,8,84.9,46.9,44.2,0.689,45.5
"(64, 32, 16, 8, 4, 2)",adam,0.0001,16,85.2,51.0,45.5,0.708,48.1
"(64, 32, 16, 8, 4, 2)",adam,0.0001,32,85.5,34.7,44.7,0.64,39.1
"(128, 64, 32, 16, 8, 4, 2)",sgd,0.001,8,85.2,36.7,43.9,0.647,40.0
"(128, 64, 32, 16, 8, 4, 2)",sgd,0.001,16,78.6,38.8,28.4,0.618,32.8
"(128, 64, 32, 16, 8, 4, 2)",sgd,0.001,32,80.3,40.8,31.7,0.636,35.7
"(128, 64, 32, 16, 8, 4, 2)",sgd,0.0001,8,80.0,49.0,33.3,0.669,39.7
"(128, 64, 32, 16, 8, 4, 2)",sgd,0.0001,16,81.4,40.8,33.9,0.642,37.0
"(128, 64, 32, 16, 8, 4, 2)",sgd,0.0001,32,86.6,0.0,0.0,0.5,0.0
"(128, 64, 32, 16, 8, 4, 2)",adam,0.001,8,83.8,40.8,40.0,0.657,40.4
"(128, 64, 32, 16, 8, 4, 2)",adam,0.001,16,82.5,46.9,37.7,0.675,41.8
